loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,term_months,start_date,status
140,38336,94,Auto Loan,132303.88,12.62,240,2012-07-17,Active
141,28535,61,Auto Loan,118584.32,7.23,24,2013-10-26,Active
142,30704,108,Home Loan,34591.76,9.25,12,2022-06-12,Closed
143,57465,28,Home Loan,106178.06,15.41,60,2012-10-06,Active
144,34922,73,Auto Loan,1617279.27,13.94,12,2013-09-17,Active
145,29550,14,Education Loan,297808.36,15.42,120,2025-05-10,Closed
146,47181,88,Gold Loan,113661.95,15.81,84,2012-07-23,Closed
147,54764,124,Personal Loan,37091.83,15.06,180,2015-10-19,Closed
148,27190,100,Personal Loan,195189.34,10.85,84,2020-06-28,Active
149,35706,22,Gold Loan,204489.61,16.16,60,2021-08-30,Closed
150,27301,19,Personal Loan,96138.91,6.97,12,2012-02-17,Active
151,53464,84,Business Loan,403137.91,9.68,84,2016-01-09,Closed
152,17649,135,Business Loan,373489.52,11.14,60,2022-04-25,Defaulted
153,622,43,Auto Loan,1235699.49,9.11,24,2015-09-18,Active
154,49363,105,Personal Loan,1482427.57,15.48,36,2021-04-14,Active
155,19472,65,Business Loan,214944.1,13.6,60,2017-07-04,Active
156,51793,129,Auto Loan,193639.77,12.72,24,2015-10-25,Active
157,47895,127,Business Loan,58804.46,8.4,180,2016-12-01,Active
158,39240,44,Gold Loan,141642.52,15.57,240,2012-12-19,Active
159,48464,80,Auto Loan,54040.03,13.44,36,2020-06-07,Active
160,27857,52,Business Loan,61923.18,7.67,84,2019-07-31,Active
161,52103,8,Home Loan,106669.14,9.6,240,2019-09-07,Active
162,51347,26,Home Loan,279703.55,11.47,84,2010-11-18,Defaulted
163,48317,14,Personal Loan,291136.12,9.35,60,2021-02-24,Active
164,50972,138,Auto Loan,362941.12,8.97,60,2010-03-16,Active
165,6209,4,Gold Loan,317419.05,10.77,84,2012-08-06,Closed
166,38298,119,Home Loan,89039.36,8.11,84,2022-10-18,Active
167,27076,86,Home Loan,659665.61,13.11,120,2023-10-12,Active
168,33895,104,Personal Loan,252542.95,12.54,84,2012-05-12,Active
169,29733,37,Home Loan,100356.62,8.41,180,2022-08-02,Closed
170,40232,74,Education Loan,213073.33,11.93,180,2017-04-03,Closed
171,57944,127,Business Loan,483153.48,16.29,60,2012-09-01,Closed
172,32505,106,Auto Loan,90375.14,8.91,24,2022-01-14,Active
173,32948,129,Business Loan,575668.94,13.04,84,2014-05-25,Active
174,39451,46,Auto Loan,678070.13,9.61,24,2010-04-30,Closed
175,8853,70,Auto Loan,101828.74,14.6,12,2023-03-12,Closed
176,8873,91,Home Loan,774688.7,9.62,120,2021-04-04,Active
177,18401,28,Auto Loan,912128.77,14.55,24,2016-12-01,Active
178,59024,90,Education Loan,139486.13,9.0,24,2014-05-08,Active
179,50467,86,Auto Loan,553797.45,7.75,12,2022-02-19,Closed
180,33262,95,Business Loan,316412.15,16.2,12,2023-08-19,Active
181,57310,57,Gold Loan,236231.12,9.38,84,2016-08-26,Active
182,15543,19,Education Loan,630537.33,7.35,120,2022-12-19,Active
183,13333,111,Personal Loan,142817.41,12.29,12,2015-06-09,Closed
184,45446,137,Personal Loan,1263445.17,11.88,36,2024-05-20,Active
185,27268,149,Gold Loan,573320.71,10.89,180,2011-09-10,Active
186,24825,127,Business Loan,435913.37,14.79,240,2022-02-28,Closed
187,15313,118,Home Loan,384689.08,14.98,12,2024-02-22,Active
188,29711,77,Auto Loan,232184.02,6.83,36,2023-04-25,Active
189,42116,107,Personal Loan,605183.6,13.48,36,2014-09-19,Closed
190,45968,97,Auto Loan,44151.39,14.65,36,2012-11-06,Closed
191,39865,146,Auto Loan,777405.46,13.92,60,2018-10-31,Written Off
192,45306,7,Business Loan,124896.99,12.21,24,2015-01-14,Closed
193,57854,49,Auto Loan,73954.1,8.14,60,2023-09-22,Closed
194,38882,145,Auto Loan,272929.98,13.42,60,2018-11-18,Active
195,44156,63,Education Loan,152601.22,14.92,120,2018-04-12,Active
196,35277,126,Business Loan,574804.37,13.81,60,2012-04-05,Active
197,26412,4,Education Loan,91708.92,7.6,120,2024-12-05,Active
198,41157,148,Education Loan,313073.53,14.86,12,2011-07-02,Active
199,57916,102,Personal Loan,426843.34,6.64,24,2012-12-16,Closed
200,45425,73,Education Loan,283729.8,13.85,240,2019-10-29,Active
201,9671,131,Gold Loan,62069.02,15.65,84,2021-05-26,Closed
202,3236,136,Education Loan,166984.32,16.48,240,2013-04-06,Active
203,54981,101,Gold Loan,209398.56,6.8,12,2021-03-29,Active
204,33865,82,Gold Loan,301164.13,14.09,24,2014-10-15,Active
205,57936,76,Home Loan,598637.7,13.12,240,2010-09-27,Active
206,21291,150,Personal Loan,535760.66,16.41,120,2020-07-19,Active
207,12087,118,Gold Loan,156758.35,13.53,240,2023-05-14,Active
208,13888,1,Personal Loan,2054283.42,16.13,36,2013-01-04,Active
209,125,4,Education Loan,308434.32,9.45,60,2020-09-07,Closed
210,27760,47,Auto Loan,849011.07,8.36,180,2019-04-25,Active
211,26807,87,Education Loan,231979.74,7.08,180,2018-11-25,Closed
212,17998,8,Auto Loan,332396.55,13.11,180,2014-04-19,Active
213,8962,46,Auto Loan,444103.24,11.59,24,2013-06-02,Defaulted
214,59561,83,Home Loan,379791.23,12.66,180,2023-10-17,Active
215,6266,56,Auto Loan,532685.83,14.99,120,2012-10-11,Closed
216,20297,66,Business Loan,215483.06,9.02,24,2016-02-17,Active
217,46080,38,Gold Loan,335984.17,10.82,120,2018-05-04,Active
218,42789,129,Gold Loan,62565.03,13.28,84,2010-10-14,Active
219,36988,148,Gold Loan,24664.83,7.14,120,2024-07-25,Active
220,6941,99,Personal Loan,309658.17,10.05,36,2015-07-24,Closed
221,59310,41,Personal Loan,195924.25,14.35,24,2024-07-06,Active
222,57496,138,Education Loan,439214.73,9.09,180,2017-10-01,Active
223,51134,132,Education Loan,166919.95,7.25,84,2017-01-12,Active
224,8463,48,Gold Loan,131133.68,9.39,240,2015-03-20,Active
225,17009,61,Personal Loan,322061.23,15.7,240,2023-11-21,Active
226,58302,35,Business Loan,551860.75,15.38,24,2021-04-15,Closed
227,8206,63,Auto Loan,97929.89,11.85,84,2020-03-08,Closed
228,47077,138,Education Loan,63189.74,11.18,180,2018-07-24,Active
229,37779,50,Business Loan,860195.67,9.76,36,2022-12-24,Active
230,9447,37,Auto Loan,48588.47,7.71,84,2020-03-13,Active
231,48404,76,Gold Loan,398945.11,8.32,24,2014-08-10,Closed
232,17458,76,Education Loan,2231615.54,13.56,240,2025-01-28,Closed
233,54109,93,Home Loan,107297.26,10.22,12,2018-09-01,Active
234,44717,13,Gold Loan,304230.96,16.22,84,2023-01-05,Closed
235,15836,137,Education Loan,337150.29,16.44,60,2022-09-01,Closed
236,44172,34,Auto Loan,66451.34,9.03,12,2022-07-17,Closed
237,26196,36,Personal Loan,1010269.08,13.51,24,2019-10-17,Active
238,42382,13,Education Loan,64965.27,15.91,24,2019-03-16,Active
239,32627,46,Gold Loan,381827.31,11.79,36,2015-05-16,Active
240,6980,44,Education Loan,149126.0,14.52,84,2012-12-22,Active
241,2145,97,Auto Loan,304741.6,6.74,60,2021-03-25,Active
242,28085,78,Home Loan,21364.55,7.2,240,2010-02-13,Active
243,8635,16,Business Loan,107570.93,14.92,12,2016-07-14,Active
244,35921,113,Gold Loan,224250.73,15.35,84,2021-06-20,Active
245,27493,46,Personal Loan,51041.86,13.05,240,2018-01-25,Closed
246,17551,34,Business Loan,227657.23,9.16,60,2010-12-30,Written Off
247,20300,84,Gold Loan,671811.24,10.74,24,2013-08-11,Active
248,45719,3,Auto Loan,31518.24,6.67,12,2018-12-09,Defaulted
249,58538,13,Personal Loan,564087.89,6.98,36,2010-05-27,Active
250,4443,142,Personal Loan,82693.36,8.06,36,2011-11-03,Active
251,33049,98,Home Loan,197017.25,11.54,36,2017-12-23,Active
252,45544,3,Auto Loan,213105.93,12.24,60,2020-11-14,Active
253,52286,44,Home Loan,1214402.0,7.6,12,2024-01-31,Active
254,44270,80,Auto Loan,400858.5,11.13,24,2021-07-08,Active
255,29584,41,Gold Loan,269884.51,13.7,120,2023-08-04,Active
256,25981,150,Personal Loan,78143.83,11.43,180,2016-06-07,Closed
257,144,121,Business Loan,525172.9,15.67,24,2017-01-21,Active
258,17207,11,Education Loan,89931.35,15.72,120,2024-11-20,Active
259,11914,82,Education Loan,20557.83,7.66,120,2021-12-21,Closed
260,11077,138,Education Loan,74579.05,12.93,24,2017-11-28,Closed
261,29061,115,Education Loan,225142.08,6.7,36,2014-02-11,Active
262,59544,81,Gold Loan,470912.72,14.76,180,2016-05-29,Active
263,7043,83,Education Loan,946496.55,13.75,120,2012-01-11,Closed
264,27391,110,Gold Loan,173992.59,10.49,12,2022-01-22,Active
265,59461,136,Gold Loan,781950.95,13.66,60,2013-01-08,Closed
266,52728,14,Business Loan,1534250.26,12.27,36,2020-01-06,Active
267,58150,11,Business Loan,106400.9,14.09,36,2022-12-05,Closed
268,17498,34,Home Loan,352206.52,11.16,120,2018-09-03,Active
269,36484,145,Home Loan,447430.54,8.18,24,2012-01-15,Active
270,12284,123,Gold Loan,164244.13,16.26,120,2024-02-22,Active
271,40919,78,Business Loan,62170.73,10.89,60,2023-01-02,Active
272,16241,54,Business Loan,440622.1,7.32,24,2016-03-30,Active
273,32543,72,Business Loan,681941.29,6.63,12,2012-03-20,Active
274,56997,17,Auto Loan,397009.63,7.71,240,2010-09-10,Active
275,11232,63,Personal Loan,90543.49,8.1,12,2010-03-19,Closed
276,24978,135,Education Loan,95486.08,7.97,84,2021-08-06,Active
277,15158,76,Education Loan,323397.21,10.4,84,2014-11-30,Active
278,52044,74,Education Loan,1032586.75,10.03,240,2020-12-15,Closed
279,2734,65,Education Loan,758419.22,9.05,120,2010-11-11,Active
280,23243,34,Personal Loan,905768.94,6.95,60,2010-05-29,Active
281,51424,42,Auto Loan,905119.29,8.67,120,2019-10-15,Active
282,34586,120,Home Loan,206417.53,15.52,84,2025-05-27,Closed
283,25425,82,Personal Loan,62422.85,13.22,180,2021-03-21,Closed
284,3693,112,Business Loan,245792.41,10.09,12,2014-06-25,Active
285,54950,132,Home Loan,277948.16,15.65,240,2016-10-06,Closed
286,41209,21,Home Loan,442506.16,7.4,240,2024-09-23,Written Off
287,18725,102,Education Loan,78057.6,14.06,12,2024-03-07,Active
288,21362,123,Auto Loan,556152.03,14.79,180,2012-04-17,Active
289,4094,83,Education Loan,187488.89,14.54,12,2024-07-01,Defaulted
290,37262,73,Home Loan,2477470.86,15.0,60,2018-03-17,Active
291,13385,140,Gold Loan,403408.29,6.75,180,2011-12-12,Active
292,3512,60,Gold Loan,57139.28,13.38,24,2018-04-08,Defaulted
293,54682,49,Personal Loan,136080.88,14.91,120,2017-09-10,Active
294,38537,92,Auto Loan,525953.1,10.26,240,2022-12-18,Closed
295,3187,74,Personal Loan,73158.03,13.09,84,2024-05-04,Defaulted
296,11351,137,Business Loan,89202.63,14.54,60,2015-05-27,Active
297,26371,113,Education Loan,1426766.47,7.62,60,2022-11-18,Closed
298,30891,137,Business Loan,245459.24,11.06,36,2022-08-19,Active
299,3826,105,Home Loan,484181.96,10.61,84,2016-02-04,Active
300,56765,134,Business Loan,1097073.05,12.14,12,2013-12-12,Active
301,38148,47,Personal Loan,146223.11,7.41,24,2010-05-22,Active
302,14862,145,Education Loan,710370.2,9.54,84,2023-12-01,Closed
303,24061,42,Business Loan,437546.94,8.15,120,2011-06-12,Closed
304,19933,5,Education Loan,197458.89,15.57,180,2015-02-09,Active
305,39430,93,Business Loan,845110.33,12.98,180,2014-01-30,Active
306,50808,24,Auto Loan,301242.02,11.19,240,2017-07-02,Active
307,11393,38,Gold Loan,512891.04,7.57,180,2010-04-16,Written Off
308,36790,105,Gold Loan,64153.78,11.52,240,2020-10-12,Active
309,58141,91,Home Loan,34584.93,6.64,36,2018-08-24,Written Off
310,48239,106,Personal Loan,353288.06,8.79,60,2012-12-06,Closed
311,57692,60,Personal Loan,299582.53,13.6,180,2011-07-14,Active
312,42484,52,Education Loan,405071.7,9.4,60,2022-10-12,Closed
313,55359,94,Home Loan,57737.34,8.06,24,2024-01-04,Active
314,51685,3,Auto Loan,1949870.98,9.61,120,2017-08-15,Active
315,38971,21,Gold Loan,162427.54,8.73,120,2016-12-17,Active
316,48590,31,Personal Loan,291370.03,6.98,12,2013-03-13,Active
317,52853,150,Gold Loan,344111.45,15.51,24,2020-02-15,Closed
318,16055,27,Business Loan,1946364.37,11.62,84,2015-04-10,Closed
319,17572,149,Business Loan,255928.24,11.64,120,2011-01-02,Active
320,10733,91,Home Loan,168237.46,10.87,12,2011-01-13,Active
321,36426,94,Education Loan,606176.31,12.13,120,2013-12-04,Closed
322,32955,147,Personal Loan,664020.52,16.45,120,2020-03-27,Active
323,53356,40,Education Loan,142088.66,14.82,120,2018-01-01,Active
324,31412,142,Auto Loan,889356.73,12.3,60,2018-05-26,Active
325,19574,14,Gold Loan,258855.65,14.94,240,2012-04-01,Active
326,28481,120,Gold Loan,677074.04,6.76,180,2021-04-07,Active
327,20591,84,Business Loan,229711.18,13.42,60,2010-03-04,Active
328,25795,112,Personal Loan,347973.94,16.46,84,2015-07-04,Active
329,3497,126,Education Loan,260218.0,9.15,120,2011-07-24,Closed
330,38890,136,Gold Loan,130150.76,16.07,12,2011-04-18,Active
331,32822,1,Auto Loan,382306.8,13.98,36,2022-09-30,Closed
332,31687,150,Education Loan,80696.24,14.18,84,2017-01-07,Active
333,25419,123,Gold Loan,948311.69,14.52,60,2017-03-25,Active
334,47556,17,Auto Loan,838530.05,7.47,120,2017-01-03,Active
335,8740,86,Business Loan,25244.51,16.5,12,2017-06-23,Active
336,58551,21,Auto Loan,246159.29,13.46,84,2013-02-25,Active
337,35075,97,Home Loan,28117.24,15.2,60,2011-01-13,Defaulted
338,39487,66,Auto Loan,123337.57,11.43,36,2024-09-14,Defaulted
339,53663,61,Education Loan,227663.42,16.36,12,2013-05-13,Active
340,35519,32,Education Loan,43444.47,7.42,84,2018-04-07,Active
341,50750,99,Gold Loan,312506.49,14.72,60,2012-12-15,Closed
342,38602,53,Education Loan,24383.08,12.27,12,2018-11-24,Active
343,31327,113,Education Loan,179615.71,14.34,24,2023-10-09,Active
344,32511,31,Gold Loan,1014017.89,11.54,84,2023-05-14,Active
345,45213,103,Business Loan,1388071.55,6.71,24,2019-10-12,Active
346,44178,40,Home Loan,179453.36,14.75,60,2012-07-28,Closed
347,34204,74,Business Loan,262961.9,13.4,36,2015-04-10,Closed
348,49698,91,Business Loan,161432.91,8.57,60,2019-01-24,Active
349,12825,30,Personal Loan,327842.9,7.6,240,2023-08-17,Closed
350,22978,101,Auto Loan,691538.47,14.75,24,2021-06-15,Active
351,55101,38,Business Loan,1524495.42,10.19,240,2018-01-15,Closed
352,15898,150,Auto Loan,289078.26,10.79,36,2012-09-10,Active
353,39425,72,Gold Loan,116277.75,10.16,120,2015-11-05,Active
354,34838,100,Home Loan,456243.1,13.83,24,2014-07-03,Active
355,8391,144,Business Loan,1126572.77,7.24,24,2019-07-07,Active
356,8624,100,Home Loan,234886.08,9.82,240,2015-05-27,Closed
357,12900,146,Education Loan,324226.9,14.3,24,2011-11-19,Active
358,33505,12,Auto Loan,62393.06,9.25,36,2011-06-30,Active
359,23819,85,Home Loan,270140.34,9.68,120,2014-11-04,Active
360,51688,93,Gold Loan,72326.87,13.07,84,2011-09-06,Closed
361,2781,3,Personal Loan,841489.82,14.33,120,2021-06-19,Closed
362,55300,38,Auto Loan,396523.77,15.25,180,2015-06-01,Active
363,44426,46,Gold Loan,315188.87,9.73,24,2023-06-06,Active
364,49759,95,Education Loan,961761.12,8.74,180,2017-07-30,Active
365,32561,2,Gold Loan,95497.89,10.05,36,2018-11-16,Active
366,26893,83,Gold Loan,243723.47,13.7,240,2011-03-01,Active
367,58215,21,Education Loan,311183.67,10.15,120,2023-02-21,Active
368,57980,21,Education Loan,258007.04,6.58,180,2016-05-05,Active
369,35008,88,Personal Loan,448904.91,7.77,36,2011-07-15,Defaulted
370,18975,42,Gold Loan,109457.67,6.91,84,2017-09-28,Active
371,3817,79,Education Loan,82053.86,11.42,36,2018-02-12,Active
372,12713,68,Auto Loan,22081.99,11.83,60,2010-05-03,Active
373,48722,28,Personal Loan,378898.65,7.1,180,2020-03-21,Active
374,42974,86,Gold Loan,966492.06,13.41,36,2018-05-12,Written Off
375,19640,103,Personal Loan,766220.98,7.24,60,2024-12-13,Active
376,23228,15,Personal Loan,511751.69,13.86,36,2013-12-17,Active
377,50746,146,Personal Loan,943353.08,7.48,120,2010-07-06,Active
378,49362,42,Gold Loan,236714.11,8.43,24,2024-03-23,Defaulted
379,27901,147,Education Loan,99626.89,12.37,36,2020-03-01,Closed
380,9700,116,Education Loan,572530.73,13.79,84,2012-04-04,Active
381,33629,147,Auto Loan,585133.99,9.69,12,2015-04-18,Closed
382,46027,82,Personal Loan,252596.82,16.15,84,2024-03-16,Defaulted
383,18855,57,Home Loan,832127.78,10.03,36,2010-12-24,Closed
384,19162,27,Auto Loan,216889.92,13.03,84,2017-05-13,Active
385,11327,111,Auto Loan,227491.49,15.78,180,2023-05-13,Closed
386,48430,104,Education Loan,1048242.17,14.61,180,2024-05-22,Active
387,54301,49,Education Loan,603328.12,11.75,36,2016-09-25,Active
388,54142,58,Education Loan,51091.59,16.11,36,2021-11-05,Closed
389,4632,101,Business Loan,30082.54,9.26,240,2010-05-02,Active
390,4196,132,Personal Loan,796255.5,13.37,120,2020-07-29,Written Off
391,9403,42,Auto Loan,246380.85,9.24,24,2014-04-17,Defaulted
392,8783,140,Business Loan,665736.36,9.03,60,2020-03-30,Active
393,30535,62,Gold Loan,447984.1,10.56,120,2023-07-08,Active
394,53166,24,Auto Loan,86561.44,16.27,12,2012-04-24,Defaulted
395,43739,62,Auto Loan,114538.56,14.0,24,2022-02-21,Closed
396,58263,121,Personal Loan,449418.04,7.28,12,2017-01-13,Active
