Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PlayerID,AstPer90,G+APer90,GlsPer90,G-PKPer90,G+A-PKPer90,SecondPos
25,Almoez Ali,FW,qa Qatar,25,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,0,1,0,bae045a9,0.0,0.0,0.0,0.0,0.0,N/A
26,Alisson,GK,br Brazil,29,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,7a2e46a8,0.0,0.0,0.0,0.0,0.0,N/A
27,Joe Allen,MF,wls Wales,32,2.eng Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0,9feb8f24,0.0,0.0,0.0,0.0,0.0,N/A
28,Thiago Almada,FW,ar Argentina,21,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,27f33438,0.0,0.0,0.0,0.0,0.0,MF
29,Roberto Alvarado,FW,mx Mexico,23,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,0,1,0,ff871e14,0.0,0.0,0.0,0.0,0.0,MF
30,Edson Álvarez,MF,mx Mexico,24,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,8b3ab7ad,0.0,0.0,0.0,0.0,0.0,N/A
31,Julián Álvarez,FW,ar Argentina,22,1.eng Manchester City,2000,7,5,464,5.2,4,0,4,4,0,0,0,0,15ab5a2b,0.0,0.78,0.78,0.78,0.78,N/A
32,Kevin Álvarez,DF,mx Mexico,23,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0,636b0833,0.0,0.0,0.0,0.0,0.0,N/A
33,Dani Alves,DF,br Brazil,39,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,c9e99e49,0.0,0.0,0.0,0.0,0.0,N/A
34,Selim Amallah,MF,ma Morocco,25,1.be Standard Liège,1996,7,4,409,4.5,0,0,0,0,0,0,1,0,00eba9c9,0.0,0.0,0.0,0.0,0.0,N/A
35,Daniel Amartey,DF,gh Ghana,27,1.eng Leicester City,1994,3,3,251,2.8,0,0,0,0,0,0,2,0,1a4ef233,0.0,0.0,0.0,0.0,0.0,N/A
36,Ethan Ampadu,MF,wls Wales,21,1.it Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,10b9fa99,0.0,0.0,0.0,0.0,0.0,N/A
37,Sofyan Amrabat,MF,ma Morocco,25,1.it Fiorentina,1996,7,7,660,7.3,0,0,0,0,0,0,1,0,5a2cb25d,0.0,0.0,0.0,0.0,0.0,N/A
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,3,2,182,2.0,0,0,0,0,0,0,2,0,fd0affe3,0.0,0.0,0.0,0.0,0.0,N/A
39,Joachim Andersen,DF,dk Denmark,26,1.eng Crystal Palace,1996,3,3,270,3.0,0,1,1,0,0,0,0,0,e34fc66d,0.33,0.33,0.0,0.0,0.33,N/A
40,Frank Anguissa,MF,cm Cameroon,26,1.it Napoli,1995,3,3,260,2.9,0,1,1,0,0,0,0,0,6bb2c084,0.35,0.35,0.0,0.0,0.35,N/A
41,Karim Ansarifard,FW,ir IR Iran,32,1.cy AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,50cddd19,0.0,0.0,0.0,0.0,0.0,N/A
42,Antony,MF,br Brazil,22,1.eng Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,99127249,0.0,0.0,0.0,0.0,0.0,N/A
43,Uriel Antuna,FW,mx Mexico,24,1.mx Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,a35f5848,0.0,0.0,0.0,0.0,0.0,MF
44,Néstor Araujo,DF,mx Mexico,30,1.mx América,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,27a013f7,0.0,0.0,0.0,0.0,0.0,N/A
45,Giorgian de Arrascaeta,MF,uy Uruguay,28,1.br Flamengo,1994,2,1,108,1.2,2,0,2,2,0,0,0,0,be8d02dd,0.0,1.67,1.67,1.67,1.67,N/A
46,Takuma Asano,FW,jp Japan,27,1.de Bochum,1994,4,0,165,1.8,1,0,1,1,0,0,0,0,13ddc856,0.0,0.55,0.55,0.55,0.55,MF
47,Marco Asensio,FW,es Spain,26,1.es Real Madrid,1996,4,3,229,2.5,1,0,1,1,0,0,0,0,45af8a54,0.0,0.39,0.39,0.39,0.39,N/A
48,Ali Assadalla,FW,qa Qatar,29,1.qa Al Sadd,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,8e74d3ce,0.0,0.0,0.0,0.0,0.0,MF
49,Lawrence Ati-Zigi,GK,gh Ghana,25,1.ch St. Gallen,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,a12402c3,0.0,0.0,0.0,0.0,0.0,N/A
50,Nathaniel Atkinson,DF,au Australia,23,1.sct Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,51caa1f0,0.0,0.0,0.0,0.0,0.0,N/A
51,Yahya Attiat Allah,DF,ma Morocco,27,1.ma Wydad AC,1995,6,2,318,3.5,0,1,1,0,0,0,0,0,432848a2,0.28,0.28,0.0,0.0,0.28,N/A
52,André Ayew,MF,gh Ghana,32,1.qa Al Sadd,1989,3,3,198,2.2,1,0,1,1,0,1,1,0,5dbefa9d,0.0,0.45,0.45,0.45,0.45,FW
53,Jordan Ayew,MF,gh Ghana,30,1.eng Crystal Palace,1991,3,2,136,1.5,0,1,1,0,0,0,0,0,da052c14,0.66,0.66,0.0,0.0,0.66,N/A
54,Sardar Azmoun,FW,ir IR Iran,27,1.de Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,10549b49,0.0,0.0,0.0,0.0,0.0,N/A
55,César Azpilicueta,DF,es Spain,32,1.eng Chelsea,1989,2,2,135,1.5,0,1,1,0,0,0,0,0,53cad200,0.67,0.67,0.0,0.0,0.67,N/A
56,Srđan Babić,DF,rs Serbia,26,1.es Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,075fe5a3,0.0,0.0,0.0,0.0,0.0,N/A
57,Keanu Baccus,MF,au Australia,24,1.sct St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0,0,19df2bf7,0.0,0.0,0.0,0.0,0.0,N/A
58,Alexander Bah,DF,dk Denmark,24,1.pt Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,78f21137,0.0,0.0,0.0,0.0,0.0,MF
59,Hattan Bahebri,FW,sa Saudi Arabia,29,1.sa Al-Shabab,1992,2,0,4,0.0,0,1,1,0,0,0,1,0,b4f50ff5,22.5,22.5,0.0,0.0,22.5,MF
60,Alejandro Balde,DF,es Spain,18,1.es Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,5ccc9672,0.0,0.0,0.0,0.0,0.0,N/A
61,Gareth Bale,FW,wls Wales,32,1.us LAFC,1989,3,3,225,2.5,1,0,1,0,1,1,1,0,a58bb1e1,0.0,0.4,0.4,0.0,0.0,MF
62,Fodé Ballo-Touré,DF,sn Senegal,25,1.it Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,f449640d,0.0,0.0,0.0,0.0,0.0,MF
63,Badr Banoun,DF,ma Morocco,28,1.qa Qatar SC,1993,3,0,54,0.6,0,0,0,0,0,0,0,0,06a24e51,0.0,0.0,0.0,0.0,0.0,N/A
64,Borna Barišić,DF,hr Croatia,29,1.sct Rangers,1992,1,1,120,1.3,0,0,0,0,0,0,1,0,712dd708,0.0,0.0,0.0,0.0,0.0,N/A
65,Meshaal Barsham,GK,qa Qatar,24,1.qa Al Sadd,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,8d3e92e0,0.0,0.0,0.0,0.0,0.0,N/A
66,Christian Bassogog,FW,cm Cameroon,26,1.cn Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,0,1,0,395cd1d9,0.0,0.0,0.0,0.0,0.0,MF
67,Michy Batshuayi,FW,be Belgium,28,1.tr Fenerbahçe,1993,2,2,151,1.7,1,0,1,1,0,0,0,0,2973d8ff,0.0,0.6,0.6,0.6,0.6,N/A
68,Jan Bednarek,DF,pl Poland,26,1.eng Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,4115ce4e,0.0,0.0,0.0,0.0,0.0,N/A
69,Aziz Behich,DF,au Australia,31,1.sct Dundee United,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,b6867b96,0.0,0.0,0.0,0.0,0.0,N/A
70,Alireza Beiranvand,GK,ir IR Iran,29,1.ir Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,6ca0b04a,0.0,0.0,0.0,0.0,0.0,N/A
71,Jude Bellingham,MF,eng England,18,1.de Dortmund,2003,5,5,414,4.6,1,1,2,1,0,0,0,0,57d88cf9,0.22,0.43,0.22,0.22,0.43,N/A
72,Anis Ben Slimane,FW,tn Tunisia,21,1.dk Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,9ade9ce1,0.0,0.0,0.0,0.0,0.0,N/A
73,Jewison Bennette,MF,cr Costa Rica,17,2.eng Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0,58f5704e,0.0,0.0,0.0,0.0,0.0,N/A
74,Rodrigo Bentancur,MF,uy Uruguay,24,1.eng Tottenham,1997,3,3,213,2.4,0,0,0,0,0,0,1,0,3b8674e6,0.0,0.0,0.0,0.0,0.0,N/A
75,Bartosz Bereszyński,DF,pl Poland,29,1.it Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,0,1,0,61b3978f,0.0,0.0,0.0,0.0,0.0,N/A
76,Steven Berghuis,MF,nl Netherlands,30,1.nl Ajax,1991,4,1,200,2.2,0,1,1,0,0,0,1,0,713c144a,0.45,0.45,0.0,0.0,0.45,N/A
77,Steven Bergwijn,FW,nl Netherlands,24,1.nl Ajax,1997,4,3,213,2.4,0,0,0,0,0,0,1,0,a29b1131,0.0,0.0,0.0,0.0,0.0,N/A
78,Krystian Bielik,MF,pl Poland,24,3.eng Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0,0,8e0ec853,0.0,0.0,0.0,0.0,0.0,N/A
79,Daley Blind,MF,nl Netherlands,32,1.nl Ajax,1990,5,5,423,4.7,1,1,2,1,0,0,0,0,691bef82,0.21,0.43,0.21,0.21,0.43,N/A
80,Celso Borges,MF,cr Costa Rica,34,1.cr Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,0,1,0,b8836910,0.0,0.0,0.0,0.0,0.0,N/A
81,Milan Borjan,GK,ca Canada,34,1.rs Red Star,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,5e8936be,0.0,0.0,0.0,0.0,0.0,N/A
82,Karim Boudiaf,MF,qa Qatar,31,1.qa Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,0,1,0,a38f33fd,0.0,0.0,0.0,0.0,0.0,N/A
83,Sofiane Boufal,FW,ma Morocco,28,1.fr Angers,1993,7,7,475,5.3,0,0,0,0,0,0,1,0,b0c71810,0.0,0.0,0.0,0.0,0.0,MF
84,Yassine Bounou,GK,ma Morocco,31,1.es Sevilla,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,f6798fc3,0.0,0.0,0.0,0.0,0.0,N/A
85,Martin Braithwaite,FW,dk Denmark,31,1.es Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0,0,fd771f95,0.0,0.0,0.0,0.0,0.0,N/A
86,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1.sa Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0,0,bd448676,0.0,0.0,0.0,0.0,0.0,N/A
87,Gleison Bremer,DF,br Brazil,25,1.it Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,5fd5ed86,0.0,0.0,0.0,0.0,0.0,N/A
88,Dylan Bronn,DF,tn Tunisia,26,1.it Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0,edd81e2a,0.0,0.0,0.0,0.0,0.0,N/A
89,Marcelo Brozović,MF,hr Croatia,29,1.it Inter,1992,6,6,552,6.1,0,0,0,0,0,0,1,0,33b8d077,0.0,0.0,0.0,0.0,0.0,N/A
90,Tajon Buchanan,MF,ca Canada,23,1.be Club Brugge,1999,3,3,260,2.9,0,1,1,0,0,0,1,0,3aca6420,0.35,0.35,0.0,0.0,0.35,FW
91,Ante Budimir,FW,hr Croatia,30,1.es Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0,8f3565b3,0.0,0.0,0.0,0.0,0.0,N/A
92,Osman Bukari,FW,gh Ghana,23,1.rs Red Star,1998,2,0,59,0.7,1,0,1,1,0,0,0,0,eab85789,0.0,1.53,1.53,1.53,1.53,MF
93,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1.sa Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,0,1,0,8d7b2936,0.0,0.0,0.0,0.0,0.0,N/A
94,Firas Al-Buraikan,FW,sa Saudi Arabia,22,1.sa Al-Fateh,2000,3,3,268,3.0,0,1,1,0,0,0,0,0,ac717a23,0.34,0.34,0.0,0.0,0.34,N/A
95,Sergio Busquets,MF,es Spain,33,1.es Barcelona,1988,4,4,363,4.0,0,0,0,0,0,0,1,0,5ab0ea87,0.0,0.0,0.0,0.0,0.0,N/A
96,Martín Cáceres,DF,uy Uruguay,35,1.us LA Galaxy,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,e94d79e3,0.0,0.0,0.0,0.0,0.0,N/A
97,Moisés Caicedo,MF,ec Ecuador,20,1.eng Brighton,2001,3,3,269,3.0,1,0,1,1,0,0,1,0,16264a81,0.0,0.33,0.33,0.33,0.33,N/A
98,Francisco Calvo,DF,cr Costa Rica,29,1.tr Konyaspor,1992,2,2,180,2.0,0,0,0,0,0,0,2,0,706bd23f,0.0,0.0,0.0,0.0,0.0,N/A
99,Eduardo Camavinga,DF,fr France,19,1.es Real Madrid,2002,2,1,140,1.6,0,0,0,0,0,0,0,0,7b9c2d84,0.0,0.0,0.0,0.0,0.0,N/A
100,Joel Campbell,MF,cr Costa Rica,29,1.mx León,1992,3,3,269,3.0,0,0,0,0,0,0,1,0,895ff3ca,0.0,0.0,0.0,0.0,0.0,FW
101,João Cancelo,DF,pt Portugal,28,1.eng Manchester City,1994,4,3,310,3.4,0,0,0,0,0,0,0,0,bd6351cd,0.0,0.0,0.0,0.0,0.0,N/A
102,Agustín Canobbio,FW,uy Uruguay,23,1.br Athletico–PR,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,4f5a2f38,0.0,0.0,0.0,0.0,0.0,MF
103,Yannick Carrasco,MF,be Belgium,28,1.es Atlético Madrid,1993,2,2,116,1.3,0,0,0,0,0,0,1,0,de39485a,0.0,0.0,0.0,0.0,0.0,FW
104,Cameron Carter-Vickers,DF,us United States,24,1.sct Celtic,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,88ced02c,0.0,0.0,0.0,0.0,0.0,N/A
105,Dani Carvajal,DF,es Spain,30,1.es Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0,0,4958bfb2,0.0,0.0,0.0,0.0,0.0,N/A
106,William Carvalho,MF,pt Portugal,30,1.es Real Betis,1992,4,2,215,2.4,0,0,0,0,0,0,0,0,dee86451,0.0,0.0,0.0,0.0,0.0,N/A
107,Casemiro,MF,br Brazil,30,1.eng Manchester Utd,1992,4,4,390,4.3,1,0,1,1,0,0,1,0,4d224fe8,0.0,0.23,0.23,0.23,0.23,N/A
108,Matty Cash,DF,pl Poland,24,1.eng Aston Villa,1997,4,4,360,4.0,0,0,0,0,0,0,2,0,2389cdc2,0.0,0.0,0.0,0.0,0.0,N/A
109,Timothy Castagne,MF,be Belgium,26,1.eng Leicester City,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,197640fd,0.0,0.0,0.0,0.0,0.0,DF
110,Jean-Charles Castelletto,DF,cm Cameroon,27,1.fr Nantes,1995,2,2,180,2.0,1,1,2,1,0,0,0,0,e0f3a1f6,0.5,1.0,0.5,0.5,1.0,N/A
111,Lucas Cavallini,FW,ca Canada,29,1.us Vancouver,1992,1,0,19,0.2,0,0,0,0,0,0,0,0,dd8de641,0.0,0.0,0.0,0.0,0.0,N/A
112,Edinson Cavani,FW,uy Uruguay,35,1.es Valencia,1987,3,1,124,1.4,0,0,0,0,0,0,1,0,527f063d,0.0,0.0,0.0,0.0,0.0,N/A
113,Ghaylène Chaalali,MF,tn Tunisia,28,1.tn Espérance Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0,0,fb3f920a,0.0,0.0,0.0,0.0,0.0,N/A
114,Daniel Chacón,DF,cr Costa Rica,21,1.cr CS Cartaginés,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,065a00d5,0.0,0.0,0.0,0.0,0.0,N/A
115,Ilias Chair,FW,ma Morocco,24,2.eng QPR,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,ad7873cb,0.0,0.0,0.0,0.0,0.0,MF
116,Kwon Chang-hoon,MF,kr Korea Republic,27,1.kr Sangmu,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,7961f7aa,0.0,0.0,0.0,0.0,0.0,N/A
117,Luis Chávez,MF,mx Mexico,26,1.mx Pachuca,1996,3,3,270,3.0,1,0,1,1,0,0,0,0,e50949ea,0.0,0.33,0.33,0.33,0.33,N/A
118,Walid Cheddira,FW,ma Morocco,24,2.it Bari,1998,2,0,64,0.7,0,0,0,0,0,0,2,1,0545a08e,0.0,0.0,0.0,0.0,0.0,N/A
119,Rouzbeh Cheshmi,DF,ir IR Iran,28,1.ir Esteghlal,1993,2,1,58,0.6,1,0,1,1,0,0,0,0,87c75fb3,0.0,1.55,1.55,1.55,1.55,N/A
120,Andreas Christensen,DF,dk Denmark,26,1.es Barcelona,1996,3,3,270,3.0,1,0,1,1,0,0,1,0,1cb49278,0.0,0.33,0.33,0.33,0.33,N/A
121,Hong Chul,DF,kr Korea Republic,31,1.kr Daegu FC,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,c7de2245,0.0,0.0,0.0,0.0,0.0,MF
122,José Cifuentes,MF,ec Ecuador,23,1.us LAFC,1999,2,0,59,0.7,0,0,0,0,0,0,0,0,8c8c07a7,0.0,0.0,0.0,0.0,0.0,N/A
123,Pathé Ciss,MF,sn Senegal,28,1.es Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,0,1,0,9a0408b6,0.0,0.0,0.0,0.0,0.0,N/A
124,Sebastián Coates,DF,uy Uruguay,31,1.pt Sporting CP,1990,2,2,180,2.0,0,0,0,0,0,0,1,0,1fbbfbde,0.0,0.0,0.0,0.0,0.0,N/A
125,Rubin Colwill,MF,wls Wales,20,2.eng Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,f170b63e,0.0,0.0,0.0,0.0,0.0,N/A
126,Kingsley Coman,FW,fr France,26,1.de Bayern Munich,1996,6,1,169,1.9,0,0,0,0,0,0,0,0,042e8a49,0.0,0.0,0.0,0.0,0.0,N/A
127,Eray Cömert,DF,ch Switzerland,24,1.es Valencia,1998,2,0,46,0.5,0,0,0,0,0,0,1,0,15937e17,0.0,0.0,0.0,0.0,0.0,N/A
128,Anthony Contreras,FW,cr Costa Rica,22,1.cr Herediano,2000,3,2,125,1.4,0,0,0,0,0,0,1,0,d05ca2cc,0.0,0.0,0.0,0.0,0.0,N/A
129,Andreas Cornelius,FW,dk Denmark,29,1.dk FC Copenhagen,1993,3,1,92,1.0,0,0,0,0,0,0,1,0,c693347d,0.0,0.0,0.0,0.0,0.0,N/A
130,Ángel Correa,FW,ar Argentina,27,1.es Atlético Madrid,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,01eb744d,0.0,0.0,0.0,0.0,0.0,MF
131,Diogo Costa,GK,pt Portugal,22,1.pt Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,93fffbcf,0.0,0.0,0.0,0.0,0.0,N/A
132,Thibaut Courtois,GK,be Belgium,30,1.es Real Madrid,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,1840e36d,0.0,0.0,0.0,0.0,0.0,N/A
133,Jason Cummings,FW,au Australia,26,1.au Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0,0,e28fbd0e,0.0,0.0,0.0,0.0,0.0,N/A
134,Aymen Dahmen,GK,tn Tunisia,25,1.tn CS Sfaxien,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,8bf49030,0.0,0.0,0.0,0.0,0.0,N/A
135,Diogo Dalot,DF,pt Portugal,23,1.eng Manchester Utd,1999,3,3,258,2.9,0,2,2,0,0,0,0,0,d9565625,0.7,0.7,0.0,0.0,0.7,N/A
136,Mikkel Damsgaard,FW,dk Denmark,21,1.eng Brentford,2000,3,1,150,1.7,0,0,0,0,0,0,0,0,215f3907,0.0,0.0,0.0,0.0,0.0,N/A
137,Danilo,DF,br Brazil,30,1.it Juventus,1991,3,3,281,3.1,0,0,0,0,0,0,1,0,94b2001f,0.0,0.0,0.0,0.0,0.0,N/A
138,Achraf Dari,DF,ma Morocco,23,1.fr Brest,1999,3,2,187,2.1,1,0,1,1,0,0,1,0,5069b796,0.0,0.48,0.48,0.48,0.48,N/A
139,Jonathan David,FW,ca Canada,22,1.fr Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0,0,ce50fd99,0.0,0.0,0.0,0.0,0.0,N/A
140,Alphonso Davies,MF,ca Canada,21,1.de Bayern Munich,2000,3,3,270,3.0,1,0,1,1,0,1,1,0,d781d855,0.0,0.33,0.33,0.33,0.33,FW
141,Ben Davies,DF,wls Wales,29,1.eng Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0,44781702,0.0,0.0,0.0,0.0,0.0,N/A
142,Nasser Al-Dawsari,DF,sa Saudi Arabia,23,1.sa Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,7709e4a6,0.0,0.0,0.0,0.0,0.0,MF
143,Salem Al-Dawsari,FW,sa Saudi Arabia,30,1.sa Al-Hilal,1991,3,3,270,3.0,2,0,2,2,0,1,1,0,60ee859c,0.0,0.67,0.67,0.67,0.67,N/A
144,Kevin De Bruyne,FW,be Belgium,30,1.eng Manchester City,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,e46012d4,0.0,0.0,0.0,0.0,0.0,MF
145,Charles De Ketelaere,FW,be Belgium,21,1.it Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,2ef7c612,0.0,0.0,0.0,0.0,0.0,MF
146,Nicolás De La Cruz,MF,uy Uruguay,25,1.ar River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,8fda5c72,0.0,0.0,0.0,0.0,0.0,N/A
147,Rodrigo De Paul,MF,ar Argentina,28,1.es Atlético Madrid,1994,7,7,599,6.7,0,0,0,0,0,0,0,0,162efffd,0.0,0.0,0.0,0.0,0.0,N/A
