card_id,customer_id,account_id,card_type,issue_date,expiry_date,credit_limit,status
60,19223,92010,Debit,2016-08-18,2021-08-17,0,Active
61,47243,71046,Debit,2016-04-15,2021-04-14,200000,Active
62,26255,32778,Credit - Classic,2017-08-21,2022-08-20,200000,Active
63,8768,54958,Credit - Platinum,2021-01-08,2026-01-07,0,Active
64,47095,74163,Credit - Gold,2023-07-05,2028-07-03,0,Active
65,9811,8456,Credit - Gold,2016-12-31,2021-12-30,500000,Active
66,21239,15419,Debit,2015-08-19,2020-08-17,50000,Active
67,45169,52526,Credit - Gold,2019-08-02,2024-07-31,0,Blocked
68,25394,25304,Debit,2016-05-07,2021-05-06,0,Active
69,28135,23815,Credit - Gold,2017-12-19,2022-12-18,25000,Active
70,33375,46378,Debit,2023-07-20,2028-07-18,25000,Active
71,23823,8839,Credit - Platinum,2021-03-14,2026-03-13,0,Active
72,31673,32798,Debit,2015-09-22,2020-09-20,0,Active
73,23913,9998,Debit,2016-09-26,2021-09-25,0,Active
74,25041,28991,Debit,2024-01-01,2028-12-30,0,Active
75,22884,24488,Debit,2025-05-08,2030-05-07,50000,Expired
76,22280,37255,Debit,2017-10-20,2022-10-19,0,Active
77,37211,64487,Debit,2016-07-29,2021-07-28,0,Active
78,45075,59827,Credit - Classic,2024-03-25,2029-03-24,0,Expired
79,14813,87090,Debit,2025-03-20,2030-03-19,0,Active
80,10878,58336,Credit - Classic,2018-12-01,2023-11-30,500000,Active
81,15896,4923,Debit,2017-07-29,2022-07-28,0,Active
82,47113,77105,Credit - Platinum,2024-10-23,2029-10-22,100000,Active
83,34783,4354,Credit - Gold,2018-06-11,2023-06-10,25000,Active
84,29373,75623,Credit - Classic,2017-08-06,2022-08-05,50000,Active
85,16452,21904,Debit,2017-12-14,2022-12-13,0,Expired
86,39253,17310,Debit,2015-12-27,2020-12-25,0,Active
87,28429,24373,Debit,2019-10-12,2024-10-10,0,Active
88,51789,77040,Credit - Gold,2020-05-23,2025-05-22,0,Active
89,40971,17546,Credit - Classic,2016-02-07,2021-02-05,50000,Active
90,4713,21956,Debit,2016-05-18,2021-05-17,50000,Active
91,27292,31696,Credit - Gold,2017-02-27,2022-02-26,25000,Active
92,54188,8686,Credit - Classic,2023-09-04,2028-09-02,0,Active
93,5979,8049,Credit - Classic,2024-08-08,2029-08-07,0,Active
94,43268,36658,Credit - Classic,2022-05-29,2027-05-28,100000,Active
95,28522,5680,Debit,2016-05-19,2021-05-18,0,Expired
96,23712,439,Credit - Classic,2019-03-05,2024-03-03,200000,Active
97,31694,67706,Credit - Classic,2023-11-10,2028-11-08,0,Active
98,2963,38299,Debit,2021-06-29,2026-06-28,50000,Active
99,39411,50584,Debit,2022-06-08,2027-06-07,25000,Active
100,10761,84845,Credit - Gold,2019-08-28,2024-08-26,0,Active
101,42529,60340,Debit,2024-06-05,2029-06-04,50000,Active
102,45504,70307,Debit,2022-04-28,2027-04-27,0,Active
103,25537,44305,Debit,2019-07-31,2024-07-29,0,Expired
104,18458,82639,Debit,2021-06-11,2026-06-10,0,Active
105,7498,32640,Credit - Gold,2018-12-25,2023-12-24,25000,Active
106,504,21827,Debit,2021-10-22,2026-10-21,0,Active
107,39092,15533,Credit - Classic,2021-07-23,2026-07-22,0,Active
108,29610,55578,Debit,2021-02-17,2026-02-16,0,Active
109,13575,33207,Debit,2019-01-30,2024-01-29,0,Active
110,1240,79259,Credit - Classic,2020-12-21,2025-12-20,0,Active
111,39488,43214,Debit,2018-10-22,2023-10-21,0,Active
112,29132,6475,Credit - Gold,2017-07-04,2022-07-03,100000,Active
113,9898,65625,Debit,2016-02-16,2021-02-14,0,Active
114,52916,76272,Credit - Classic,2017-07-13,2022-07-12,25000,Active
115,14685,84738,Credit - Gold,2020-05-05,2025-05-04,0,Blocked
116,12756,61624,Credit - Classic,2020-12-11,2025-12-10,0,Expired
117,49265,83924,Debit,2022-11-03,2027-11-02,0,Blocked
118,16976,93612,Credit - Platinum,2017-07-26,2022-07-25,0,Active
119,37734,86460,Credit - Gold,2018-10-11,2023-10-10,0,Active
120,1166,92406,Debit,2023-04-08,2028-04-06,0,Active
121,20346,74163,Debit,2023-02-10,2028-02-09,0,Expired
122,38431,40624,Debit,2018-11-14,2023-11-13,0,Active
123,46853,53275,Debit,2019-10-03,2024-10-01,0,Active
124,26992,57119,Debit,2025-05-21,2030-05-20,25000,Blocked
125,26707,85021,Debit,2023-03-15,2028-03-13,200000,Active
126,58987,70794,Credit - Classic,2017-04-25,2022-04-24,0,Expired
127,27079,42579,Credit - Classic,2015-07-14,2020-07-12,0,Active
128,19669,9556,Credit - Classic,2017-03-30,2022-03-29,50000,Active
129,27101,94499,Credit - Platinum,2015-07-30,2020-07-28,50000,Active
130,42765,27574,Debit,2021-08-31,2026-08-30,25000,Active
131,11980,82276,Debit,2022-02-20,2027-02-19,0,Active
132,4149,45051,Debit,2016-11-09,2021-11-08,0,Active
133,47445,30802,Credit - Gold,2022-09-14,2027-09-13,0,Active
134,33013,89518,Credit - Platinum,2022-08-10,2027-08-09,0,Active
135,17827,35618,Debit,2021-02-13,2026-02-12,0,Active
136,39832,27343,Debit,2016-06-01,2021-05-31,0,Expired
137,47163,29612,Credit - Classic,2024-08-04,2029-08-03,25000,Expired
138,45835,18136,Credit - Classic,2020-02-15,2025-02-13,50000,Expired
139,54903,72550,Debit,2019-02-12,2024-02-11,0,Expired
140,11231,19258,Credit - Classic,2016-06-16,2021-06-15,50000,Active
141,56831,29620,Debit,2018-11-16,2023-11-15,50000,Active
142,29555,93311,Credit - Classic,2022-09-23,2027-09-22,0,Active
143,27407,17212,Debit,2021-10-21,2026-10-20,50000,Active
144,42987,60279,Debit,2018-03-16,2023-03-15,0,Active
145,11507,13429,Credit - Gold,2015-10-13,2020-10-11,0,Active
146,21278,75971,Debit,2019-12-03,2024-12-01,200000,Active
147,47138,64811,Credit - Gold,2016-09-21,2021-09-20,0,Active
148,7105,59300,Debit,2021-12-16,2026-12-15,25000,Active
149,46546,42389,Debit,2021-05-27,2026-05-26,25000,Active
150,29271,40656,Credit - Classic,2025-05-31,2030-05-30,0,Active
151,55079,79739,Debit,2020-08-23,2025-08-22,0,Active
152,58742,40972,Credit - Gold,2019-01-01,2023-12-31,0,Active
153,27075,23871,Credit - Gold,2020-07-21,2025-07-20,0,Active
154,41379,85135,Debit,2018-09-27,2023-09-26,0,Active
155,38405,18437,Credit - Classic,2017-11-09,2022-11-08,0,Active
156,2953,25348,Debit,2021-06-10,2026-06-09,200000,Active
157,18895,35481,Credit - Classic,2023-10-27,2028-10-25,0,Active
158,22424,61096,Debit,2023-06-29,2028-06-27,0,Active
159,10923,75916,Debit,2024-11-22,2029-11-21,0,Active
160,33521,385,Credit - Classic,2024-12-09,2029-12-08,0,Active
161,28450,36326,Credit - Gold,2018-12-01,2023-11-30,25000,Active
162,33146,64715,Debit,2021-07-24,2026-07-23,0,Active
163,11687,67155,Credit - Classic,2019-05-14,2024-05-12,50000,Active
164,19455,64965,Debit,2016-02-09,2021-02-07,0,Active
165,25440,8051,Debit,2018-09-28,2023-09-27,50000,Active
166,45899,14830,Debit,2021-03-05,2026-03-04,0,Active
167,57342,28297,Debit,2016-02-22,2021-02-20,0,Active
168,30824,43494,Debit,2016-02-15,2021-02-13,25000,Active
169,43976,42592,Debit,2019-01-04,2024-01-03,0,Active
170,28316,30722,Debit,2015-01-24,2020-01-23,25000,Active
171,32275,19193,Debit,2024-11-22,2029-11-21,50000,Active
172,29793,10867,Credit - Classic,2024-07-31,2029-07-30,0,Expired
173,35102,25282,Debit,2015-04-13,2020-04-11,0,Active
174,39846,23350,Debit,2017-03-10,2022-03-09,0,Expired
175,35739,70911,Credit - Classic,2022-09-26,2027-09-25,50000,Active
176,51946,66856,Credit - Classic,2019-03-13,2024-03-11,25000,Active
177,80,30402,Debit,2015-04-26,2020-04-24,0,Active
178,19088,43361,Credit - Classic,2021-02-27,2026-02-26,0,Active
179,48268,88418,Debit,2024-09-11,2029-09-10,500000,Active
180,21293,51265,Credit - Classic,2021-05-14,2026-05-13,0,Active
181,32378,28272,Credit - Classic,2016-01-14,2021-01-12,0,Active
182,29836,46631,Debit,2018-05-14,2023-05-13,0,Active
183,43297,13177,Credit - Classic,2024-10-23,2029-10-22,0,Expired
184,17376,32857,Credit - Classic,2016-08-15,2021-08-14,0,Active
185,15922,21752,Debit,2017-12-22,2022-12-21,0,Active
186,23236,45,Credit - Classic,2017-02-03,2022-02-02,0,Active
187,50024,26421,Credit - Classic,2023-06-04,2028-06-02,0,Active
188,20674,23777,Credit - Classic,2024-09-30,2029-09-29,0,Active
189,2306,27812,Debit,2015-03-01,2020-02-28,100000,Active
190,40456,90569,Debit,2020-03-30,2025-03-29,0,Active
191,55290,47606,Debit,2021-01-09,2026-01-08,100000,Active
192,26490,53090,Credit - Classic,2022-11-01,2027-10-31,0,Active
193,47777,73005,Credit - Classic,2018-06-19,2023-06-18,0,Active
194,23491,17254,Debit,2023-05-15,2028-05-13,0,Active
195,11770,33019,Credit - Classic,2022-09-05,2027-09-04,0,Active
196,14155,59992,Credit - Gold,2024-09-11,2029-09-10,0,Active
197,17281,17072,Credit - Classic,2015-06-08,2020-06-06,0,Active
198,8674,75048,Debit,2017-11-26,2022-11-25,0,Active
199,27899,25603,Credit - Classic,2015-10-13,2020-10-11,200000,Active
200,3718,88499,Debit,2015-09-11,2020-09-09,100000,Active
201,10985,30502,Debit,2021-06-21,2026-06-20,100000,Active
202,40729,79658,Credit - Gold,2024-07-25,2029-07-24,0,Active
203,44382,4309,Debit,2022-01-02,2027-01-01,0,Active
204,13909,82042,Debit,2017-01-06,2022-01-05,50000,Active
205,23630,10402,Debit,2025-02-10,2030-02-09,0,Active
206,37095,91119,Credit - Gold,2022-03-13,2027-03-12,0,Active
207,33786,84083,Credit - Classic,2017-09-15,2022-09-14,0,Active
208,49195,3029,Debit,2018-04-06,2023-04-05,0,Active
209,56479,40443,Debit,2021-09-05,2026-09-04,0,Active
210,5176,75592,Credit - Classic,2016-04-21,2021-04-20,25000,Active
211,37921,7755,Credit - Classic,2021-05-10,2026-05-09,0,Active
212,59324,60606,Credit - Classic,2022-10-13,2027-10-12,0,Active
213,40770,50207,Credit - Classic,2020-05-25,2025-05-24,0,Active
214,5998,69366,Credit - Classic,2019-08-06,2024-08-04,0,Active
215,37206,88346,Credit - Classic,2025-01-23,2030-01-22,50000,Active
216,47648,30300,Credit - Classic,2021-08-07,2026-08-06,50000,Active
217,48619,35369,Credit - Gold,2016-04-06,2021-04-05,0,Active
218,2548,83757,Credit - Classic,2020-08-18,2025-08-17,0,Active
219,42154,60988,Credit - Classic,2015-01-03,2020-01-02,0,Active
220,17362,39989,Credit - Platinum,2019-11-05,2024-11-03,0,Active
221,12179,14707,Credit - Gold,2021-07-27,2026-07-26,50000,Active
222,58227,30745,Debit,2023-04-18,2028-04-16,0,Active
223,51413,57062,Credit - Gold,2023-10-28,2028-10-26,0,Active
224,18823,90029,Debit,2017-01-24,2022-01-23,50000,Active
225,43435,60402,Debit,2021-09-20,2026-09-19,100000,Blocked
226,9098,20892,Debit,2023-12-06,2028-12-04,0,Active
227,53954,26743,Debit,2020-03-12,2025-03-11,200000,Active
228,33718,54344,Debit,2020-04-08,2025-04-07,0,Active
229,51342,20555,Credit - Classic,2021-08-19,2026-08-18,0,Active
230,14473,22470,Credit - Classic,2021-12-03,2026-12-02,0,Active
231,52084,8834,Debit,2015-06-17,2020-06-15,0,Active
232,38004,17332,Credit - Classic,2017-11-04,2022-11-03,0,Active
233,12038,25004,Credit - Gold,2025-01-03,2030-01-02,0,Active
234,43502,91011,Credit - Classic,2022-02-07,2027-02-06,0,Active
235,33908,26565,Credit - Platinum,2020-02-01,2025-01-30,0,Active
236,46998,3865,Debit,2021-01-05,2026-01-04,0,Active
237,11396,81311,Debit,2023-10-19,2028-10-17,0,Active
238,13446,76152,Credit - Classic,2015-06-19,2020-06-17,0,Active
239,9742,43925,Debit,2021-05-01,2026-04-30,100000,Blocked
240,10297,39964,Credit - Platinum,2018-07-25,2023-07-24,0,Active
241,19885,70330,Credit - Classic,2022-03-20,2027-03-19,0,Active
242,30491,88001,Credit - Classic,2022-12-01,2027-11-30,25000,Active
243,4427,29483,Debit,2016-10-06,2021-10-05,0,Active
244,54634,10315,Debit,2021-08-11,2026-08-10,0,Active
245,15926,50848,Credit - Gold,2018-12-13,2023-12-12,0,Active
246,6042,52668,Credit - Classic,2019-11-07,2024-11-05,500000,Active
247,51538,59003,Debit,2021-01-21,2026-01-20,0,Active
248,54197,91071,Credit - Platinum,2024-03-26,2029-03-25,25000,Active
249,3457,5064,Credit - Gold,2017-06-07,2022-06-06,0,Active
250,28893,64505,Debit,2024-02-15,2029-02-13,50000,Active
251,18395,21095,Credit - Gold,2023-09-09,2028-09-07,25000,Active
252,18281,5419,Credit - Classic,2017-11-28,2022-11-27,0,Active
253,22077,86112,Debit,2022-10-05,2027-10-04,50000,Blocked
254,21016,11024,Credit - Classic,2024-12-26,2029-12-25,0,Active
255,3115,7230,Credit - Classic,2018-07-25,2023-07-24,50000,Active
256,36158,57435,Credit - Classic,2022-07-26,2027-07-25,0,Active
257,52916,42003,Debit,2019-04-30,2024-04-28,0,Active
258,29791,10135,Debit,2024-08-17,2029-08-16,25000,Active
259,7477,40941,Credit - Classic,2016-01-17,2021-01-15,25000,Blocked
260,1982,4116,Credit - Classic,2019-04-05,2024-04-03,25000,Active
261,41670,40884,Debit,2017-02-23,2022-02-22,0,Blocked
262,32451,59850,Credit - Classic,2024-05-15,2029-05-14,200000,Blocked
263,33825,9173,Credit - Classic,2021-03-19,2026-03-18,0,Active
264,53294,79299,Debit,2020-08-28,2025-08-27,0,Expired
265,3939,28536,Debit,2022-08-21,2027-08-20,25000,Active
266,52071,41603,Credit - Classic,2016-03-05,2021-03-04,0,Active
267,34169,54876,Debit,2016-10-07,2021-10-06,100000,Active
268,30394,9608,Debit,2022-11-01,2027-10-31,0,Active
269,21073,66081,Credit - Classic,2017-04-30,2022-04-29,100000,Active
270,26433,3581,Credit - Classic,2016-11-02,2021-11-01,0,Active
271,58346,90805,Credit - Classic,2022-11-01,2027-10-31,100000,Active
272,54530,23901,Debit,2015-01-05,2020-01-04,0,Active
273,1851,16593,Credit - Platinum,2020-10-12,2025-10-11,50000,Active
274,31927,19421,Credit - Classic,2023-03-27,2028-03-25,0,Active
275,56397,73645,Debit,2015-04-13,2020-04-11,0,Active
276,52051,61054,Debit,2021-10-17,2026-10-16,0,Active
277,20754,22344,Credit - Gold,2017-03-27,2022-03-26,50000,Active
278,19941,92732,Debit,2017-01-28,2022-01-27,50000,Active
279,13133,13132,Credit - Classic,2017-03-24,2022-03-23,100000,Blocked
280,42285,80743,Debit,2016-07-25,2021-07-24,50000,Active
281,14901,68761,Credit - Gold,2019-05-11,2024-05-09,0,Active
282,11452,30000,Credit - Gold,2016-09-03,2021-09-02,50000,Active
283,33358,13208,Debit,2022-01-15,2027-01-14,100000,Active
284,2007,21755,Credit - Classic,2025-02-13,2030-02-12,0,Active
285,50200,30522,Debit,2019-01-15,2024-01-14,50000,Active
286,7756,14873,Debit,2017-07-27,2022-07-26,50000,Active
287,23099,19490,Credit - Classic,2019-04-26,2024-04-24,0,Active
288,11864,59335,Credit - Classic,2016-08-18,2021-08-17,50000,Active
289,13090,20371,Debit,2021-01-13,2026-01-12,0,Active
290,58317,26141,Debit,2021-06-21,2026-06-20,25000,Active
291,58980,53580,Debit,2022-10-21,2027-10-20,0,Active
292,49769,51571,Credit - Classic,2021-10-28,2026-10-27,100000,Active
293,48489,88032,Debit,2024-06-17,2029-06-16,50000,Active
294,19229,25584,Debit,2025-04-01,2030-03-31,0,Active
295,20047,9900,Debit,2022-01-27,2027-01-26,0,Active
296,59256,3603,Credit - Gold,2016-01-23,2021-01-21,100000,Expired
297,25461,11827,Debit,2024-03-16,2029-03-15,25000,Blocked
298,493,61099,Debit,2023-04-10,2028-04-08,0,Active
299,12427,68941,Debit,2023-12-11,2028-12-09,0,Active
300,27598,34094,Debit,2017-09-23,2022-09-22,0,Active
301,24231,31616,Debit,2021-11-29,2026-11-28,0,Active
302,35184,77644,Credit - Classic,2022-06-23,2027-06-22,0,Active
303,42549,19244,Debit,2021-08-28,2026-08-27,0,Active
304,9010,20038,Credit - Classic,2021-06-10,2026-06-09,50000,Active
305,51001,12758,Debit,2020-11-16,2025-11-15,100000,Active
306,56927,3925,Debit,2019-01-23,2024-01-22,0,Active
307,53910,23893,Debit,2017-10-28,2022-10-27,0,Active
308,45964,71807,Debit,2023-01-05,2028-01-04,0,Active
309,42326,65690,Debit,2019-02-04,2024-02-03,0,Active
310,59380,22023,Debit,2019-03-10,2024-03-08,0,Active
311,41452,85512,Debit,2024-10-01,2029-09-30,0,Active
312,18417,69510,Debit,2023-08-06,2028-08-04,0,Active
313,9211,87762,Debit,2024-05-29,2029-05-28,0,Active
314,16273,48399,Credit - Classic,2020-02-24,2025-02-22,0,Active
315,3890,56078,Debit,2024-04-14,2029-04-13,0,Active
316,11062,49442,Credit - Classic,2017-01-29,2022-01-28,0,Active
317,30566,64585,Debit,2022-10-13,2027-10-12,0,Active
318,54132,40115,Debit,2021-11-11,2026-11-10,0,Active
319,55062,62348,Debit,2023-11-12,2028-11-10,0,Active
320,15464,15042,Debit,2018-05-22,2023-05-21,0,Active
321,37026,16919,Debit,2019-02-20,2024-02-19,0,Active
322,40285,73840,Debit,2015-05-07,2020-05-05,0,Active
323,12361,67456,Credit - Classic,2021-02-21,2026-02-20,100000,Active
324,5091,31898,Debit,2019-10-08,2024-10-06,500000,Active
325,25578,2490,Debit,2017-09-16,2022-09-15,25000,Blocked
326,26295,47100,Debit,2021-02-04,2026-02-03,0,Active
327,54141,65275,Debit,2024-09-09,2029-09-08,25000,Active
328,30087,46726,Credit - Gold,2024-10-20,2029-10-19,0,Active
329,34658,19900,Credit - Classic,2016-08-03,2021-08-02,100000,Active
330,8030,94060,Debit,2015-09-12,2020-09-10,50000,Active
331,39520,91391,Credit - Platinum,2018-03-22,2023-03-21,50000,Active
332,49233,72204,Debit,2020-07-15,2025-07-14,200000,Blocked
333,45036,21986,Debit,2024-08-15,2029-08-14,0,Active
334,28443,40383,Debit,2024-01-01,2028-12-30,50000,Blocked
335,56637,63845,Credit - Classic,2020-07-24,2025-07-23,25000,Active
336,3753,14657,Credit - Classic,2016-04-11,2021-04-10,200000,Expired
337,6040,73977,Credit - Platinum,2015-08-29,2020-08-27,0,Active
338,38648,69331,Debit,2023-11-23,2028-11-21,50000,Active
339,6584,3079,Credit - Classic,2015-04-20,2020-04-18,100000,Active
340,52662,71485,Credit - Gold,2020-10-01,2025-09-30,0,Active
341,45923,72822,Debit,2021-12-16,2026-12-15,0,Blocked
342,46502,53349,Credit - Classic,2021-11-29,2026-11-28,0,Active
343,29032,5455,Credit - Classic,2018-01-14,2023-01-13,0,Active
344,41313,55085,Debit,2019-02-18,2024-02-17,25000,Active
345,19035,85188,Debit,2017-08-30,2022-08-29,0,Active
346,57470,93680,Debit,2023-07-10,2028-07-08,50000,Active
347,3325,53550,Debit,2019-05-29,2024-05-27,0,Active
348,29844,78022,Credit - Classic,2020-02-08,2025-02-06,100000,Active
349,45236,54037,Credit - Classic,2015-11-13,2020-11-11,0,Active
350,13657,85598,Credit - Classic,2021-02-14,2026-02-13,100000,Active
351,57323,16151,Credit - Gold,2015-05-19,2020-05-17,0,Active
352,24087,77967,Credit - Classic,2022-05-21,2027-05-20,0,Active
353,28376,75312,Credit - Gold,2023-03-20,2028-03-18,0,Active
354,1858,36660,Credit - Classic,2023-04-18,2028-04-16,0,Active
355,24730,12412,Debit,2018-04-25,2023-04-24,200000,Active
356,39688,40365,Debit,2023-04-16,2028-04-14,0,Active
357,20933,46816,Credit - Classic,2016-07-06,2021-07-05,0,Active
358,10481,52311,Debit,2020-04-07,2025-04-06,200000,Active
359,29180,32887,Debit,2017-12-27,2022-12-26,0,Active
360,651,36817,Credit - Gold,2022-05-10,2027-05-09,0,Active
361,12526,57787,Debit,2017-04-20,2022-04-19,25000,Active
362,42749,38219,Credit - Classic,2016-12-25,2021-12-24,100000,Active
363,52856,30465,Debit,2021-10-10,2026-10-09,0,Active
364,52773,24044,Debit,2016-11-17,2021-11-16,0,Active
365,51400,37921,Debit,2020-02-24,2025-02-22,100000,Active
366,41317,88788,Debit,2020-09-27,2025-09-26,0,Blocked
367,46523,92665,Credit - Classic,2017-08-16,2022-08-15,0,Blocked
368,22499,38130,Credit - Classic,2018-12-23,2023-12-22,0,Active
369,18617,80931,Debit,2015-01-01,2019-12-31,0,Active
370,27122,21755,Credit - Classic,2015-11-16,2020-11-14,50000,Active
371,3774,9635,Debit,2020-03-31,2025-03-30,0,Expired
372,2452,53301,Credit - Gold,2019-07-21,2024-07-19,0,Active
373,57046,77920,Debit,2024-07-12,2029-07-11,0,Blocked
374,39000,81647,Credit - Classic,2017-06-04,2022-06-03,200000,Active
375,21746,61869,Credit - Platinum,2017-05-23,2022-05-22,0,Active
376,6662,78779,Credit - Classic,2017-09-02,2022-09-01,0,Active
377,14275,20648,Credit - Gold,2022-10-28,2027-10-27,0,Blocked
378,53533,17156,Debit,2018-04-26,2023-04-25,0,Active
379,9508,11059,Debit,2018-01-23,2023-01-22,0,Active
380,35268,64348,Debit,2020-02-18,2025-02-16,0,Active
381,23999,43176,Debit,2019-10-15,2024-10-13,50000,Expired
382,47876,55861,Debit,2022-11-19,2027-11-18,50000,Active
383,34125,74104,Debit,2025-02-02,2030-02-01,100000,Active
384,28823,37551,Debit,2023-02-08,2028-02-07,0,Active
385,33321,83688,Debit,2017-03-02,2022-03-01,25000,Active
386,29916,78741,Credit - Classic,2020-12-16,2025-12-15,0,Expired
387,5243,65172,Debit,2024-12-21,2029-12-20,25000,Expired
388,45381,18627,Credit - Classic,2023-07-28,2028-07-26,0,Active
389,31332,87650,Debit,2024-11-03,2029-11-02,100000,Active
390,43937,74708,Debit,2017-04-27,2022-04-26,25000,Active
391,22160,32172,Debit,2020-06-16,2025-06-15,0,Active
392,21579,55622,Credit - Gold,2024-06-28,2029-06-27,50000,Active
393,50280,22783,Credit - Gold,2023-03-01,2028-02-28,100000,Blocked
394,56209,4341,Credit - Gold,2018-06-30,2023-06-29,0,Active
395,18281,70791,Debit,2021-04-09,2026-04-08,25000,Active
396,5612,59076,Debit,2018-10-18,2023-10-17,0,Active
397,2486,65987,Debit,2023-02-22,2028-02-21,0,Active
398,4905,53616,Credit - Classic,2015-03-24,2020-03-22,0,Active
399,47436,39437,Debit,2021-01-27,2026-01-26,0,Expired
400,28570,71040,Credit - Classic,2023-09-12,2028-09-10,100000,Active
401,4690,37756,Debit,2015-02-23,2020-02-22,0,Active
402,4151,2163,Debit,2020-05-22,2025-05-21,100000,Active
403,40925,36081,Debit,2017-06-01,2022-05-31,0,Active
404,28508,15458,Credit - Platinum,2020-10-26,2025-10-25,0,Blocked
405,55677,31781,Credit - Platinum,2017-03-15,2022-03-14,50000,Active
406,13650,86778,Credit - Gold,2019-10-24,2024-10-22,0,Expired
407,176,21692,Debit,2020-02-20,2025-02-18,0,Active
408,6493,54745,Debit,2017-12-31,2022-12-30,50000,Active
409,51798,93762,Debit,2023-03-12,2028-03-10,0,Active
410,44783,22132,Credit - Classic,2016-12-05,2021-12-04,0,Active
411,23690,31741,Debit,2019-04-18,2024-04-16,0,Expired
412,19588,80723,Credit - Gold,2016-03-09,2021-03-08,0,Active
413,35554,84221,Debit,2018-06-08,2023-06-07,0,Active
414,36556,4961,Debit,2016-01-23,2021-01-21,0,Active
415,39825,48686,Credit - Platinum,2016-08-17,2021-08-16,50000,Active
416,15958,83718,Debit,2020-09-14,2025-09-13,50000,Active
