ticket_id,customer_id,issue_type,date_opened,date_resolved,status,satisfaction_score
83,52934,Account Statement,2023-04-05,2023-04-18,Resolved,5
84,10390,Interest Query,2020-09-18,2020-10-02,Resolved,5
85,47105,App Login Issue,2021-10-09,2021-10-15,Open,2
86,8817,Account Statement,2026-04-06,2026-04-25,Resolved,2
87,8204,Fraud Report,2020-06-19,2020-07-02,Resolved,2
88,34918,Wrong Debit,2019-07-10,2019-07-26,Resolved,2
89,58933,Fraud Report,2025-12-11,2025-12-14,Resolved,2
90,5345,KYC Update,2024-09-02,2024-09-04,Resolved,1
91,38764,Cheque Bounce,2019-04-15,2019-04-25,Resolved,1
92,12648,Net Banking Issue,2022-12-30,2023-01-02,Resolved,4
93,9676,Account Statement,2024-02-16,2024-03-04,Open,5
94,30562,Interest Query,2025-01-24,2025-02-09,Resolved,4
95,28028,App Login Issue,2021-10-23,2021-10-25,Resolved,5
96,26755,KYC Update,2023-05-11,2023-05-25,Open,4
97,34676,Wrong Debit,2023-10-03,2023-10-21,Resolved,4
98,38654,Cheque Bounce,2020-04-30,2020-05-10,Open,3
99,26999,Card Blocked,2021-03-07,2021-03-19,Open,5
100,3131,KYC Update,2023-08-21,2023-09-01,Resolved,5
101,53180,Net Banking Issue,2022-09-01,2022-09-12,Resolved,2
102,17873,App Login Issue,2025-03-06,2025-03-13,Open,2
103,38000,Interest Query,2023-08-16,2023-08-18,Resolved,3
104,44632,KYC Update,2022-04-02,2022-04-21,Resolved,2
105,11916,Loan Query,2023-07-28,2023-08-01,Resolved,2
106,12292,Loan Query,2020-08-04,2020-08-09,Escalated,2
107,408,Wrong Debit,2020-03-02,2020-03-11,Resolved,3
108,25881,Wrong Debit,2021-09-09,2021-09-24,Resolved,1
109,49432,Loan Query,2019-11-25,2019-12-02,Resolved,3
110,29060,KYC Update,2021-10-08,2021-10-10,Resolved,5
111,27997,Wrong Debit,2025-02-17,2025-02-25,Resolved,2
112,58802,Fraud Report,2026-05-19,2026-06-03,Resolved,3
113,18457,Cheque Bounce,2019-08-20,2019-08-24,Resolved,5
114,31657,Loan Query,2022-09-23,2022-10-08,Escalated,5
115,15292,Interest Query,2024-06-18,2024-06-30,Resolved,3
116,54211,Fraud Report,2020-05-08,2020-05-14,Resolved,3
117,8479,Account Statement,2022-02-23,2022-03-09,Resolved,3
118,56097,App Login Issue,2023-11-10,2023-11-17,Open,2
119,28923,KYC Update,2023-04-28,2023-05-04,Resolved,4
120,38703,Account Statement,2024-02-19,2024-02-25,Resolved,2
121,53680,Cheque Bounce,2025-10-26,2025-10-27,Resolved,1
122,44291,Card Blocked,2025-10-02,2025-10-21,Resolved,4
123,34226,Account Statement,2020-04-28,2020-05-01,Resolved,3
124,47969,Wrong Debit,2021-04-02,2021-04-08,Resolved,4
125,36010,Wrong Debit,2022-07-13,2022-07-28,Resolved,3
126,30296,Account Statement,2019-06-05,2019-06-08,Resolved,1
127,6639,Card Blocked,2020-05-06,2020-05-25,Resolved,1
128,54413,Loan Query,2024-10-27,2024-11-04,Resolved,5
129,47291,Account Statement,2021-09-03,2021-09-10,Resolved,2
130,38831,Net Banking Issue,2019-07-22,2019-08-02,Resolved,5
131,9207,Fraud Report,2024-09-02,2024-09-07,Resolved,1
132,28838,Interest Query,2020-02-13,2020-02-27,Resolved,2
133,24413,Net Banking Issue,2023-06-12,2023-06-15,Open,4
134,10743,Wrong Debit,2021-11-10,2021-11-23,Escalated,1
135,9329,App Login Issue,2022-10-16,2022-10-17,Resolved,3
136,27079,Interest Query,2024-10-26,2024-11-14,Resolved,3
137,58067,KYC Update,2024-01-13,2024-01-24,Resolved,1
138,25269,Card Blocked,2020-06-11,2020-06-26,Resolved,5
139,49523,Fraud Report,2020-04-19,2020-05-03,Resolved,5
140,17391,App Login Issue,2021-12-23,2021-12-28,Resolved,1
141,27129,Fraud Report,2025-03-27,2025-03-30,Resolved,1
142,26552,Wrong Debit,2025-07-02,2025-07-18,Resolved,2
143,43685,Interest Query,2020-04-03,2020-04-05,Resolved,2
144,31958,Loan Query,2023-07-01,2023-07-03,Resolved,5
145,10117,Account Statement,2024-01-27,2024-02-15,Resolved,2
146,53073,Net Banking Issue,2026-01-31,2026-01-31,Resolved,1
147,44019,Fraud Report,2020-08-05,2020-08-17,Escalated,1
148,8252,Fraud Report,2019-01-25,2019-02-03,Resolved,3
149,34801,App Login Issue,2025-06-27,2025-06-27,Resolved,2
150,11966,KYC Update,2024-11-09,2024-11-19,Escalated,4
151,48309,Net Banking Issue,2022-10-04,2022-10-04,Escalated,3
152,19381,Loan Query,2023-05-06,2023-05-12,Resolved,4
153,49751,App Login Issue,2026-01-27,2026-02-11,Resolved,3
154,38341,Interest Query,2024-03-22,2024-04-07,Resolved,1
155,26737,Loan Query,2024-12-31,2025-01-02,Resolved,2
156,25766,KYC Update,2020-06-06,2020-06-14,Resolved,1
157,42968,Loan Query,2020-10-02,2020-10-02,Resolved,4
158,38493,Loan Query,2023-05-28,2023-06-09,Resolved,3
159,51052,Card Blocked,2020-01-04,2020-01-14,Resolved,4
160,41677,App Login Issue,2019-11-12,2019-12-01,Resolved,3
161,47160,Card Blocked,2021-12-27,2021-12-27,Resolved,4
162,6202,Cheque Bounce,2023-09-24,2023-10-02,Resolved,4
163,13305,App Login Issue,2022-10-22,2022-10-31,Resolved,3
164,39453,Card Blocked,2022-08-28,2022-09-12,Resolved,1
165,29820,Interest Query,2023-12-15,2024-01-03,Resolved,1
166,6704,Net Banking Issue,2021-05-13,2021-05-28,Resolved,5
167,3990,Fraud Report,2025-05-14,2025-05-15,Escalated,2
168,47426,Interest Query,2019-01-01,2019-01-16,Resolved,1
169,36174,Loan Query,2022-02-16,2022-02-25,Resolved,2
170,17523,Account Statement,2022-10-01,2022-10-20,Open,4
171,31471,Card Blocked,2025-03-27,2025-04-04,Resolved,4
172,52719,Account Statement,2023-08-16,2023-08-21,Resolved,2
173,27329,Wrong Debit,2019-08-24,2019-09-07,Resolved,5
174,2678,Loan Query,2021-06-27,2021-06-29,Resolved,4
175,43877,Fraud Report,2023-04-06,2023-04-17,Resolved,3
176,2890,Cheque Bounce,2023-01-23,2023-02-09,Resolved,3
177,4209,Net Banking Issue,2026-06-12,2026-06-27,Resolved,5
178,21022,Account Statement,2025-08-24,2025-09-06,Resolved,1
179,32040,Loan Query,2021-01-08,2021-01-12,Resolved,2
180,44435,Interest Query,2025-10-02,2025-10-13,Escalated,5
181,9383,Net Banking Issue,2024-01-17,2024-01-30,Resolved,3
182,6284,Loan Query,2023-05-12,2023-05-19,Open,5
183,44816,Net Banking Issue,2025-01-13,2025-01-22,Resolved,3
184,7232,Wrong Debit,2025-12-09,2025-12-28,Escalated,2
185,39700,Net Banking Issue,2025-01-20,2025-01-22,Resolved,3
186,19664,Wrong Debit,2025-03-19,2025-03-22,Resolved,4
187,26106,KYC Update,2023-03-25,2023-03-28,Escalated,1
188,3540,Loan Query,2019-01-18,2019-02-03,Resolved,4
189,5209,Fraud Report,2024-01-12,2024-01-12,Resolved,4
190,47565,Card Blocked,2020-07-30,2020-08-01,Resolved,5
191,39917,Net Banking Issue,2022-06-08,2022-06-11,Resolved,4
192,26261,App Login Issue,2020-05-09,2020-05-26,Resolved,4
193,7172,Loan Query,2020-08-06,2020-08-08,Resolved,1
194,43963,Interest Query,2023-04-16,2023-04-27,Open,4
195,10340,Cheque Bounce,2023-11-17,2023-11-17,Open,5
196,6457,KYC Update,2022-02-22,2022-03-07,Resolved,5
197,16926,Wrong Debit,2025-01-11,2025-01-27,Resolved,2
198,57532,Fraud Report,2023-11-22,2023-12-11,Resolved,4
199,24112,Wrong Debit,2024-11-20,2024-11-30,Resolved,3
200,48084,Cheque Bounce,2025-02-12,2025-02-14,Escalated,1
201,48845,Cheque Bounce,2020-09-07,2020-09-23,Open,1
202,29620,Account Statement,2019-03-24,2019-04-11,Resolved,2
203,24730,Wrong Debit,2025-03-17,2025-03-27,Open,2
204,19207,Net Banking Issue,2024-04-10,2024-04-20,Resolved,3
205,52982,Interest Query,2023-12-07,2023-12-20,Resolved,2
206,50630,Loan Query,2022-09-22,2022-10-05,Resolved,1
207,55096,Card Blocked,2026-03-07,2026-03-16,Escalated,2
208,36729,Account Statement,2020-12-14,2020-12-21,Resolved,3
209,14060,Net Banking Issue,2019-12-06,2019-12-11,Resolved,1
210,26474,Fraud Report,2025-05-28,2025-06-11,Resolved,2
211,41609,Loan Query,2020-01-24,2020-02-03,Resolved,5
212,36825,Account Statement,2019-09-17,2019-10-04,Resolved,2
213,38542,Net Banking Issue,2020-07-10,2020-07-15,Resolved,4
214,5712,Loan Query,2020-10-20,2020-11-05,Escalated,4
215,42964,Interest Query,2021-04-17,2021-04-29,Open,3
216,54152,Cheque Bounce,2023-01-04,2023-01-22,Resolved,5
217,47255,Cheque Bounce,2020-12-05,2020-12-17,Resolved,4
218,39509,Account Statement,2019-01-10,2019-01-29,Resolved,4
219,23263,KYC Update,2022-07-25,2022-07-28,Resolved,5
220,54417,Card Blocked,2021-01-09,2021-01-21,Resolved,3
221,20840,Cheque Bounce,2024-06-16,2024-06-29,Open,4
222,6561,Interest Query,2022-09-05,2022-09-08,Resolved,5
223,19972,Loan Query,2021-07-28,2021-08-13,Escalated,3
224,18279,Interest Query,2025-05-22,2025-05-25,Resolved,1
225,18313,Cheque Bounce,2024-08-20,2024-08-20,Resolved,3
226,35873,Account Statement,2019-05-27,2019-06-01,Resolved,3
227,14036,Net Banking Issue,2025-11-16,2025-12-02,Resolved,4
228,18957,Card Blocked,2025-12-16,2025-12-20,Resolved,2
229,10237,Loan Query,2022-10-03,2022-10-21,Resolved,4
230,45725,Account Statement,2019-10-25,2019-11-08,Resolved,3
231,41863,Loan Query,2019-01-18,2019-02-03,Resolved,5
232,44890,Wrong Debit,2025-01-14,2025-01-28,Resolved,2
233,31852,Account Statement,2025-08-27,2025-09-08,Escalated,1
234,8379,App Login Issue,2021-06-01,2021-06-02,Resolved,1
235,59706,Loan Query,2022-08-12,2022-08-26,Resolved,3
236,9134,Account Statement,2024-03-30,2024-04-01,Resolved,1
237,17829,Fraud Report,2019-04-30,2019-05-17,Resolved,4
238,19577,Account Statement,2019-03-30,2019-04-17,Resolved,5
239,53020,Net Banking Issue,2022-09-22,2022-09-27,Resolved,4
240,6189,App Login Issue,2020-07-27,2020-08-02,Resolved,5
241,30021,Card Blocked,2026-01-29,2026-02-04,Resolved,2
242,52059,Card Blocked,2020-06-30,2020-07-03,Open,2
243,2045,Card Blocked,2023-01-10,2023-01-21,Resolved,5
244,48253,Wrong Debit,2024-01-12,2024-01-18,Resolved,2
245,50163,Account Statement,2020-04-11,2020-04-29,Resolved,5
246,12477,Account Statement,2020-09-21,2020-10-08,Resolved,5
247,48890,Loan Query,2025-11-10,2025-11-27,Escalated,5
248,25132,Card Blocked,2023-09-02,2023-09-05,Resolved,4
249,53321,Net Banking Issue,2021-08-12,2021-08-30,Resolved,1
250,29827,Account Statement,2019-09-19,2019-09-23,Open,4
251,8831,Fraud Report,2023-05-14,2023-06-02,Resolved,3
252,32610,Card Blocked,2023-05-26,2023-06-12,Resolved,1
253,12710,Account Statement,2020-10-07,2020-10-22,Resolved,1
254,22691,Fraud Report,2022-11-30,2022-11-30,Resolved,2
255,34502,Net Banking Issue,2020-11-12,2020-11-21,Open,1
256,4059,Loan Query,2019-07-23,2019-07-30,Open,3
257,25124,Card Blocked,2025-02-02,2025-02-13,Open,5
258,59831,KYC Update,2021-03-13,2021-03-30,Open,2
259,56395,Interest Query,2025-06-27,2025-07-03,Resolved,2
260,56430,Loan Query,2021-12-15,2021-12-16,Resolved,5
261,21356,Cheque Bounce,2020-03-02,2020-03-03,Open,2
262,48399,Net Banking Issue,2026-04-13,2026-04-20,Resolved,2
263,17565,Interest Query,2021-04-10,2021-04-22,Resolved,1
264,12299,Account Statement,2021-02-26,2021-02-28,Resolved,1
265,1820,Cheque Bounce,2026-06-19,2026-07-08,Resolved,1
266,42060,Cheque Bounce,2025-05-26,2025-06-11,Resolved,4
267,19693,Cheque Bounce,2023-05-17,2023-05-17,Resolved,5
268,54941,Wrong Debit,2021-02-03,2021-02-05,Resolved,3
269,23882,Card Blocked,2024-01-04,2024-01-08,Resolved,4
270,53197,Card Blocked,2019-10-10,2019-10-17,Resolved,2
271,25342,Cheque Bounce,2022-12-07,2022-12-07,Resolved,3
272,16777,App Login Issue,2026-01-28,2026-02-09,Open,1
273,48565,Loan Query,2019-11-15,2019-12-04,Resolved,5
274,28481,Cheque Bounce,2024-01-07,2024-01-23,Resolved,3
275,22853,Interest Query,2022-02-21,2022-03-06,Resolved,5
276,56351,Net Banking Issue,2024-08-07,2024-08-17,Resolved,4
277,24537,App Login Issue,2021-09-10,2021-09-10,Resolved,4
278,33961,Cheque Bounce,2019-05-29,2019-06-03,Resolved,3
279,59841,Net Banking Issue,2020-11-04,2020-11-06,Resolved,5
280,27632,App Login Issue,2019-11-12,2019-11-17,Open,1
281,16143,Account Statement,2022-03-15,2022-03-18,Resolved,5
282,55382,Account Statement,2021-07-07,2021-07-11,Resolved,2
283,6044,Loan Query,2019-02-24,2019-03-03,Resolved,2
284,44029,Interest Query,2022-04-16,2022-05-01,Open,3
285,56530,Account Statement,2019-03-18,2019-03-31,Resolved,1
286,3715,App Login Issue,2022-02-14,2022-02-28,Resolved,4
287,27706,Cheque Bounce,2025-01-29,2025-02-08,Resolved,3
288,33452,Card Blocked,2020-10-17,2020-10-24,Resolved,2
289,36450,KYC Update,2025-08-01,2025-08-19,Open,4
290,10432,Account Statement,2020-12-27,2020-12-31,Open,5
291,9501,Net Banking Issue,2019-06-07,2019-06-09,Resolved,1
292,33576,Net Banking Issue,2020-11-07,2020-11-22,Resolved,3
293,32270,Loan Query,2023-06-18,2023-06-25,Open,3
294,43544,App Login Issue,2021-03-19,2021-03-24,Resolved,1
295,38225,Loan Query,2022-12-07,2022-12-13,Resolved,5
296,54849,KYC Update,2024-05-29,2024-05-29,Resolved,3
297,44929,Loan Query,2020-06-09,2020-06-24,Escalated,5
298,13943,Loan Query,2020-02-17,2020-03-07,Open,2
299,35548,Card Blocked,2023-08-17,2023-08-30,Resolved,2
300,34827,Wrong Debit,2023-10-25,2023-10-26,Resolved,4
301,11778,Fraud Report,2023-09-20,2023-09-23,Resolved,4
302,51801,Account Statement,2022-02-01,2022-02-12,Resolved,5
303,38133,Fraud Report,2022-06-28,2022-07-07,Resolved,4
304,14,Loan Query,2021-08-14,2021-09-02,Open,2
305,49799,Card Blocked,2020-05-18,2020-05-23,Resolved,3
306,34605,App Login Issue,2025-12-25,2025-12-26,Resolved,4
307,2092,Card Blocked,2019-10-11,2019-10-15,Resolved,2
308,43722,Cheque Bounce,2020-11-29,2020-12-15,Escalated,1
309,9397,Card Blocked,2025-04-30,2025-05-02,Open,4
310,4406,Loan Query,2022-02-15,2022-02-26,Escalated,4
311,25647,Fraud Report,2021-12-06,2021-12-07,Resolved,2
312,38017,Account Statement,2021-02-27,2021-03-17,Resolved,3
313,42084,Interest Query,2022-12-16,2022-12-19,Resolved,3
314,39417,Account Statement,2019-02-27,2019-03-06,Escalated,1
315,16884,Cheque Bounce,2019-01-05,2019-01-10,Resolved,5
316,27171,KYC Update,2020-09-19,2020-09-20,Resolved,5
317,41576,Card Blocked,2022-09-03,2022-09-05,Resolved,1
318,38785,Interest Query,2019-05-09,2019-05-17,Resolved,1
319,46173,Wrong Debit,2025-09-26,2025-10-07,Escalated,5
320,23924,Account Statement,2019-10-17,2019-10-20,Resolved,5
321,4932,Card Blocked,2025-05-07,2025-05-12,Resolved,5
322,34346,Net Banking Issue,2024-12-05,2024-12-14,Resolved,3
323,24338,Fraud Report,2021-04-15,2021-04-27,Resolved,1
324,22116,Loan Query,2022-01-22,2022-01-27,Resolved,3
325,41919,Account Statement,2025-08-15,2025-08-31,Resolved,2
326,11294,Account Statement,2020-02-04,2020-02-10,Resolved,1
327,7568,Loan Query,2025-02-25,2025-02-28,Resolved,3
328,59029,Net Banking Issue,2020-02-03,2020-02-04,Resolved,2
329,51846,Wrong Debit,2023-11-02,2023-11-11,Resolved,3
330,19076,Interest Query,2022-12-14,2022-12-17,Resolved,3
331,28314,Fraud Report,2021-05-13,2021-05-21,Open,4
332,41206,Wrong Debit,2023-08-20,2023-09-06,Resolved,2
333,8588,App Login Issue,2020-07-25,2020-08-06,Escalated,1
334,12565,Net Banking Issue,2025-06-21,2025-07-10,Escalated,4
335,37411,Card Blocked,2023-11-29,2023-12-06,Escalated,1
336,49242,Cheque Bounce,2024-08-02,2024-08-12,Resolved,3
337,31185,App Login Issue,2023-04-28,2023-04-29,Resolved,2
338,41885,Cheque Bounce,2024-10-22,2024-10-31,Resolved,5
339,511,Card Blocked,2021-03-05,2021-03-13,Resolved,5
340,49831,Net Banking Issue,2022-01-03,2022-01-20,Open,3
341,9179,Wrong Debit,2023-01-20,2023-01-30,Resolved,3
342,28255,Card Blocked,2026-03-25,2026-03-27,Resolved,4
343,50438,Fraud Report,2020-08-06,2020-08-20,Resolved,1
344,10275,Wrong Debit,2019-12-25,2019-12-31,Resolved,5
345,54410,KYC Update,2024-10-29,2024-11-13,Resolved,3
346,40390,Card Blocked,2021-06-30,2021-07-07,Open,5
347,35458,Net Banking Issue,2020-10-29,2020-11-17,Open,2
348,42832,Fraud Report,2019-11-28,2019-11-30,Open,1
349,35340,Account Statement,2019-06-04,2019-06-09,Open,3
350,36615,KYC Update,2021-04-04,2021-04-10,Escalated,1
351,40782,Loan Query,2019-10-20,2019-11-01,Resolved,2
352,59486,Fraud Report,2025-12-09,2025-12-26,Resolved,1
353,20418,Interest Query,2022-10-21,2022-10-23,Resolved,2
354,28982,Interest Query,2019-08-21,2019-09-06,Resolved,4
355,15725,KYC Update,2020-09-15,2020-09-18,Resolved,2
356,4372,Interest Query,2019-09-27,2019-10-16,Resolved,4
357,11226,Account Statement,2023-12-26,2024-01-03,Resolved,1
358,7840,Interest Query,2026-02-21,2026-03-12,Resolved,1
359,46663,Wrong Debit,2024-11-12,2024-11-29,Resolved,3
360,24034,Account Statement,2020-08-09,2020-08-24,Resolved,2
361,30089,Loan Query,2026-03-13,2026-03-30,Resolved,5
362,22663,KYC Update,2022-12-28,2023-01-08,Resolved,2
363,7528,Net Banking Issue,2024-07-06,2024-07-20,Resolved,4
364,395,Loan Query,2019-02-27,2019-03-05,Resolved,2
365,2645,Interest Query,2023-03-01,2023-03-13,Resolved,1
366,15415,Net Banking Issue,2025-02-28,2025-03-19,Resolved,4
367,42657,Wrong Debit,2025-12-06,2025-12-06,Resolved,5
368,44723,Cheque Bounce,2019-02-24,2019-02-25,Resolved,5
369,50332,Net Banking Issue,2020-01-14,2020-01-14,Escalated,4
370,5260,Account Statement,2019-03-04,2019-03-10,Escalated,5
371,11600,Interest Query,2024-08-09,2024-08-19,Open,4
372,8278,Wrong Debit,2026-04-24,2026-05-04,Resolved,4
373,43787,App Login Issue,2024-03-04,2024-03-06,Open,2
374,27551,Cheque Bounce,2024-09-02,2024-09-13,Resolved,1
375,14181,Loan Query,2022-10-03,2022-10-13,Resolved,2
376,1366,Net Banking Issue,2022-04-01,2022-04-11,Resolved,3
377,26564,Interest Query,2020-02-18,2020-02-28,Resolved,4
378,720,Account Statement,2025-09-01,2025-09-05,Resolved,3
379,16794,Fraud Report,2020-10-22,2020-11-01,Resolved,5
380,4188,Cheque Bounce,2023-02-15,2023-02-20,Resolved,4
381,9969,Card Blocked,2020-01-06,2020-01-11,Resolved,5
382,2427,Net Banking Issue,2024-04-05,2024-04-19,Resolved,4
383,48280,Loan Query,2025-04-18,2025-04-27,Resolved,1
384,10415,Account Statement,2022-03-17,2022-03-19,Resolved,2
385,37169,KYC Update,2021-02-13,2021-02-17,Resolved,1
386,45133,Interest Query,2021-07-05,2021-07-06,Open,4
387,9038,Account Statement,2021-05-04,2021-05-15,Resolved,2
388,58496,Interest Query,2023-04-11,2023-04-20,Escalated,2
389,58503,App Login Issue,2019-08-31,2019-09-01,Open,1
390,41481,KYC Update,2025-11-15,2025-11-25,Resolved,5
391,12051,Card Blocked,2022-09-30,2022-10-19,Open,1
392,9692,Interest Query,2021-01-31,2021-02-09,Open,1
393,13282,KYC Update,2021-08-31,2021-09-15,Escalated,5
394,39054,Wrong Debit,2019-04-26,2019-05-14,Resolved,4
395,25831,Cheque Bounce,2026-01-09,2026-01-25,Resolved,4
396,26670,Net Banking Issue,2021-12-09,2021-12-12,Resolved,5
397,32947,Interest Query,2019-12-06,2019-12-09,Resolved,1
398,49506,Account Statement,2021-11-05,2021-11-13,Resolved,3
399,15747,Interest Query,2020-07-05,2020-07-18,Resolved,2
400,14855,Net Banking Issue,2019-05-02,2019-05-09,Resolved,3
401,51647,App Login Issue,2026-02-02,2026-02-12,Resolved,1
402,40995,Net Banking Issue,2024-10-11,2024-10-17,Resolved,5
403,324,Wrong Debit,2021-01-29,2021-02-16,Resolved,3
404,51842,Loan Query,2023-03-13,2023-03-30,Escalated,1
405,20725,KYC Update,2020-08-31,2020-09-05,Resolved,1
406,17887,KYC Update,2023-12-04,2023-12-14,Open,4
407,40787,Loan Query,2023-08-27,2023-09-08,Resolved,3
408,55140,Card Blocked,2025-10-16,2025-10-16,Open,1
409,57841,Cheque Bounce,2019-10-07,2019-10-26,Escalated,1
410,43753,Cheque Bounce,2019-07-11,2019-07-14,Escalated,1
411,36912,Card Blocked,2019-11-04,2019-11-09,Resolved,3
412,40384,Fraud Report,2025-01-17,2025-01-24,Open,1
413,47241,Fraud Report,2020-03-03,2020-03-17,Escalated,1
414,44612,Cheque Bounce,2026-04-17,2026-04-17,Resolved,4
415,18477,Net Banking Issue,2023-11-26,2023-12-10,Open,1
416,38551,Cheque Bounce,2024-12-01,2024-12-05,Open,4
417,44706,Net Banking Issue,2023-05-04,2023-05-16,Resolved,1
418,43391,Interest Query,2024-05-04,2024-05-23,Resolved,3
419,15540,Net Banking Issue,2022-03-18,2022-03-19,Resolved,5
420,2933,Wrong Debit,2020-09-26,2020-10-03,Resolved,2
421,15273,Fraud Report,2023-08-01,2023-08-09,Resolved,2
422,37018,App Login Issue,2025-09-29,2025-09-29,Resolved,2
423,31881,Loan Query,2020-02-06,2020-02-14,Resolved,2
424,54943,Account Statement,2022-11-17,2022-11-17,Resolved,1
